17:29:12.247 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Started: TC0003_VerifyMenuPanel : verifyAllAvailableMenuOptionsOnMenuPanel *********
17:29:12.376 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Verifying if the menu option 'Performance' is displayed in the menu panel...
17:29:12.376 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Menu option 'Performance' is available in the menu panel.
17:29:12.376 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Finished: TC0003_VerifyMenuPanel : verifyAllAvailableMenuOptionsOnMenuPanel *********
17:29:12.551 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Started: TC0003_VerifyMenuPanel : verifyAllAvailableMenuOptionsOnMenuPanel *********
17:29:12.698 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Verifying if the menu option 'Dashboard' is displayed in the menu panel...
17:29:12.698 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Menu option 'Dashboard' is available in the menu panel.
17:29:12.698 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Finished: TC0003_VerifyMenuPanel : verifyAllAvailableMenuOptionsOnMenuPanel *********
17:29:12.855 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Started: TC0003_VerifyMenuPanel : verifyAllAvailableMenuOptionsOnMenuPanel *********
17:29:12.996 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Verifying if the menu option 'Directory' is displayed in the menu panel...
17:29:12.996 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Menu option 'Directory' is available in the menu panel.
17:29:12.996 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Finished: TC0003_VerifyMenuPanel : verifyAllAvailableMenuOptionsOnMenuPanel *********
17:29:13.147 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Started: TC0003_VerifyMenuPanel : verifyAllAvailableMenuOptionsOnMenuPanel *********
17:29:13.252 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Verifying if the menu option 'Maintenance' is displayed in the menu panel...
17:29:13.253 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Menu option 'Maintenance' is available in the menu panel.
17:29:13.253 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Finished: TC0003_VerifyMenuPanel : verifyAllAvailableMenuOptionsOnMenuPanel *********
17:29:13.426 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Started: TC0003_VerifyMenuPanel : verifyAllAvailableMenuOptionsOnMenuPanel *********
17:29:13.624 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Verifying if the menu option 'Claima' is displayed in the menu panel...
17:29:13.624 [main] ERROR testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Menu option 'Claima' is not available in the menu panel.
17:29:13.786 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Started: TC0003_VerifyMenuPanel : verifyAllAvailableMenuOptionsOnMenuPanel *********
17:29:13.988 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Verifying if the menu option 'Buzz' is displayed in the menu panel...
17:29:13.988 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Menu option 'Buzz' is available in the menu panel.
17:29:13.989 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Finished: TC0003_VerifyMenuPanel : verifyAllAvailableMenuOptionsOnMenuPanel *********
17:29:14.174 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Started: TC0003_VerifyMenuPanel : verifySearchBoxFunctionality *********
17:29:14.175 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Retrieving the expected menu name from properties file...
17:29:14.175 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Entering the expected menu name 'Leave' in the search box...
17:29:14.335 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Retrieving all menu names from the menu panel...
17:29:14.370 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Verifying if the expected menu name 'Leave' is present in the menu panel...
17:29:14.370 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - Search box functionality is working correctly. Expected menu: 'Leave', Found menu: '[Leave]'.
17:29:14.370 [main] INFO  testCases.TC0003_VerifyAvailableMenuOnMenuPanel - ******* Finished: TC0003_VerifyMenuPanel : verifySearchBoxFunctionality *********
